0006;StL Holland;Stena Line Holland BV;NL;http://www.stenaline.nl/ferry/
0010;VR;VR-Yhtymä Oy;FI;http://www.vr.fi/
0012;TRFSA;Transfesa;ES;http://www.transfesa.com/
0013;OSJD;OSJD;PL;http://osjd.org/
0014;CWL;Compagnie des Wagons-Lits;FR;http://www.cwl-services.com/
0015;RMF;Rail Manche Finance;GB;http://www.rmf.co.uk/
0016;RD;RAILDATA;CH;http://www.raildata.coop/
0017;ENS;European Night Services Ltd;GB;
0018;THI Factory;THI Factory SA;BE;http://www.thalys.com/
0019;Eurostar I;Eurostar International Limited;GB;http://www.eurostar.com/
0020;OAO RZD;Joint Stock Company 'Russian Railways';RU;http://rzd.ru/
0021;BC;Belarusian Railways;BY;http://www.rw.by/
0022;UZ;Ukrainski Zaliznytsi;UA;http://uz.gov.ua/
0023;CFM;Calea Ferată din Moldova;MD;http://railway.md/
0024;LG;AB 'Lietuvos geležinkeliai';LT;http://www.litrail.lt/
0025;LDZ;Latvijas dzelzceļš;LV;http://www.ldz.lv/
0026;EVR;Aktsiaselts Eesti Raudtee;EE;http://www.evr.ee/
0027;KTZ;Kazakhstan Temir Zholy;KZ;http://www.railway.ge/
0028;GR;Sakartvelos Rkinigza;GE;http://railway.ge/
0029;UTI;Uzbekistan Temir Yullari;UZ;http://www.uzrailway.uz/
0030;ZC;Railways of D.P.R.K.;KP;
0031;UBTZ;Mongolian-Russian Joint-Stock Company “Ulaanbaatar railway”;MN;http://www.ubtz.mn
0032;DSVN;đường sắt Việt Nam;VN;http://www.vr.com.vn/
0033;CR;Chinese Railways;CN;http://www.chineserailways.com/
0041;HSH;Hekurudha Shqiptarë SH.A.;AL;http://www.hsh.com.al/
0043;GySEV/Raaberbahn;Győr-Sopron-Ebenfurti Vasút Zrt.;HU;http://www2.gysev.hu/
0044;ŽRS;Željeznice Republike Srpske;BA;http://www.zrs-rs.com/
0050;ŽFBH;J.P. Željeznice Federacije BiH d.o.o.;BA;http://www.zfbh.ba/
0051;PKP PLK S.A.;PKP Polskie Linie Kolejowe S.A.;PL;http://www.plk-sa.pl/
0052;NRIC;National Railway Infrastructure Company;BG;http://rail-infra.bg/
0053;CFR SA;Compania Naţională de Căi Ferate Române;RO;http://www.cfr.ro/
0054;SŽDC;Správa železniční dopravní cesty, s.o.;CZ;http://www.szdc.cz/
0055;MÁV;Magyar Államvasutak Zrt.;HU;http://www.mav.hu/
0056;ŽSR;Železnice Slovenskej Republiky;SK;http://www.zsr.sk/
0057;AZ-ADDY;Azərbaycan Dövlət Dəmir Yolu;AZ;http://www.railway.gov.az/
0058;CJSC SCR;South Caucasus Railway CJSC;AM;http://www.ukzhd.am/
0059;KTJ;Kyrgyz Railways;KG;http://www.ktj.kg/
0060;CIE;Córas Iompair Éireann;IE;http://www.cie.ie/
0061;KORAIL;Korea Railroad Corporation;KR;http://www.korail.com/
0063;BLS;BLS AG;CH;http://www.bls.ch/
0064;FNM;Gruppo Ferrovie Nord Milano;IT;http://www.fnmgroup.it/
0065;CFARYM-I;Makedonski Železnici Infrastructure-Skopje;MK;http://www.mzi.mk/
0066;TDZ;Tajikistan Railways;TJ;
0067;TRK;Turkmenistan Railways;TM;http://www.railway.gov.tm/
0069;EUROT;EUROTUNNEL;FR;http://www.eurotunnel.com/
0070;Network Rail;Network Rail Limited;GB;http://www.networkrail.co.uk/
0071;ADIF;Administrator de Infraestructuras Ferroviarias;ES;http://www.adif.es/
0072;IŽS;Infrastruktura Železnice Srbije;RS;http://www.zeleznicesrbije.com/
0073;OSE;Organismos Sidirodromon Ellados;GR;http://www.ose.gr/
0074;TRAFIKVERKET;Trafikverket;SE;http://www.trafikverket.se/
0075;TCDD;Türkiye Cumhuriyeti Devlet Demiryolları İşletmesi;TR;http://www.tcdd.gov.tr/
0076;JBV;Jernbaneverket;NO;http://www.jernbaneverket.no/
0077;FS EPA;Ferrovie dello Stato Italiane SpA EPA;IT;http://www.fsitaliane.it/
0078;HŽ-Infrastruktura;HŽ Infrastruktura d.o.o.;HR;http://www.hznet.hr/
0079;SŽ - Infrastuktura, d.o.o.;Slovenske železnice - Infrastuktura, d.o.o.;SI;http://www.slo-zeleznice.si/sl/infrastruktura/
0080;DB Netz AG;DB Netz AG;DE;http://fahrweg.dbnetze.com/
0081;ÖBB-Holding AG;ÖBB-Holding AG;AT;http://www.oebb.at/
0082;CFL;Société Nationale des Chemins de Fer Luxembourgeois;LU;http://www.cfl.lu/
0083;FS;Ferrovie dello Stato Italiane SpA;IT;http://www.fsitaliane.it/
0084;ProRail;ProRail;NL;http://blog.prorail.nl/
0085;SBB-Holding;Swiss Federal Railways-Holding & Infrastructure;CH;http://www.sbb.ch/sbb-konzern.html
0086;Banedanmark;Banedanmark (RailNet Denmark);DK;http://www.bane.dk/
0087;SNCF Réseau;Société Nationale des Chemins de fer français Réseau;FR;http://www.sncf.com/
0088;Infrabel;Infrabel;BE;http://www.infrabel.be/
0090;ENR;Egyptian National Railways;EG;https://enr.gov.eg/
0091;SNCFT;Société Nationale des Chemins de Fer Tunisiens;TN;http://www.sncft.com.tn/
